known_heads,shared_tail,target_relation,answers
"[('Massage, Cardiac', 'used_for'), ('Structure of respiratory system, unspecified', 'has_procedure_site')]",Cardiopulmonary resuscitation (& closed cardiac massage & ventilation) (procedure),associated_with,"['fracture of ribs, sternum and thorax associated with chest compression and cardiopulmonary resuscitation (diagnosis)']"
"[('mepron', 'used_for'), ('Metrone', 'used_for')]",Atovaquone - chemical (substance),has_component,['atovaquone in serum or plasma (lab test)']
"[('mepron', 'used_for'), ('Metrone', 'used_for')]",Atovaquone - chemical (substance),has_ingredient,"['Atovaquone- and proguanil-containing product in oral dose form', 'ATOVAQUONE 250MG TAB', 'Mepron 750 MG per 5 ML Oral Suspension']"
"[('mepron', 'used_for'), ('Metrone', 'used_for')]",Atovaquone - chemical (substance),physiologic_effect_of,['Decreased Metabolic Rate']
"[('ultrasound angioplasty', 'used_for'), ('Laser Angioplasty', 'used_for')]",Cryoplasty,has_component,['Guidance for angioplasty^W contrast Intra-arterial:Finding:To identify measures at a point in time:Lower extremity>Tibial artery:Document:Radiofluoroscopy.angio']
"[('ultrasound angioplasty', 'used_for'), ('Laser Angioplasty', 'used_for')]",Cryoplasty,associated_with,"['Peripheral Vascular Angioplasty Status with Implants and Grafts', 'angioplasty status (diagnosis)', 'peripheral vascular angioplasty status (diagnosis)']"
"[('ultrasound angioplasty', 'used_for'), ('Laser Angioplasty', 'used_for')]",Cryoplasty,has_focus,['anesthesia for angioplasty (medication)']
"[('ultrasound angioplasty', 'used_for'), ('Laser Angioplasty', 'used_for')]",Cryoplasty,clinically_associated_with,['Cardiovascular Disease (CVD)']
"[('ultrasound angioplasty', 'used_for'), ('Laser Angioplasty', 'used_for')]",Cryoplasty,method_of,['Dilation repair - action (qualifier value)']
"[('1H-Pyrrole-3-carboxamide, N-(2-(diethylamino)ethyl)-5-((Z)-(5-fluoro-1,2-dihydro-2-oxo-3H-indol-3-ylidene)methyl)-2,4-dimethyl-', 'therapeutic_class_of'), ('osimertinib (medication)', 'therapeutic_class_of')]",Antineoplastic Agent [TC],has_active_ingredient,"['Antineoplastic alkaloid (substance)', 'topical antineoplastics (medication)', 'Dutasteride 0.5mg Oral capsule', 'megestrol acetate 625 MG per 5 ML Oral Suspension']"
"[('1H-Pyrrole-3-carboxamide, N-(2-(diethylamino)ethyl)-5-((Z)-(5-fluoro-1,2-dihydro-2-oxo-3H-indol-3-ylidene)methyl)-2,4-dimethyl-', 'therapeutic_class_of'), ('osimertinib (medication)', 'therapeutic_class_of')]",Antineoplastic Agent [TC],associated_with,['noxious influence from antineoplastic chemotherapy via placenta or breast milk (diagnosis)']
"[('SURAL NERVE ONION BULB LESION', 'clinically_associated_with'), ('Electromyography finding (finding)', 'clinically_associated_with')]",Chronic inflammatory demyelinating polyneuritis (disorder),may_treat,['IV IG']
"[('SURAL NERVE ONION BULB LESION', 'clinically_associated_with'), ('Electromyography finding (finding)', 'clinically_associated_with')]",Chronic inflammatory demyelinating polyneuritis (disorder),associated_morphology_of,['Inflammatory morphology (morphologic abnormality)']
"[('Cystic duct structure (body structure)', 'used_for'), ('Musculus sphincter ampullae hepatopancreatica', 'used_for')]",Bile duct structure (body structure),has_finding_site,"['PRIMARY BILIARY CIRRHOSIS, SCLERODERMA, RAYNAUD DISEASE, AND TELANGIECTASIA', 'Cholangitis due to bile duct calculus with obstruction (disorder)', 'Calculus of gallbladder and bile duct with acute cholecystitis (disorder)', 'Anomalous arrangement of pancreatobiliary duct', 'Congenital biliary ectasias', 'High grade flat intraepithelial neoplasia of biliary duct (disorder)']"
"[('Cystic duct structure (body structure)', 'used_for'), ('Musculus sphincter ampullae hepatopancreatica', 'used_for')]",Bile duct structure (body structure),has_direct_procedure_site,"['Sphincterotomy of sphincter of Oddi by endoscopic retrograde cholangiopancreatography', 'plain x-ray of biliary ducts (procedure)', 'percutaneous drainage of biliary ducts with fluoroscopic guidance (treatment)', 'placement of percutaneous biliary duct stent, new access, without placement of drainage catheter (treatment)', 'Percutaneous transluminal insertion of plastic stent into bile duct using fluoroscopic guidance (procedure)', 'Fluoroscopy guided drainage of bile duct', 'abdominal MRI biliary and pancreatic ducts']"
"[('Cystic duct structure (body structure)', 'used_for'), ('Musculus sphincter ampullae hepatopancreatica', 'used_for')]",Bile duct structure (body structure),has_procedure_site,"['BILIARY NDSC PRQ T-TUBE W/DIL DUCT W/O STENT', 'T-tube clamping (procedure)', 'ERCP with biopsy', 'cholecystectomy with cholangiography (treatment)', 'PLMT BILE DUCT STENT PRQ NEW ACCESS W/SEP CATH', 'Endo cholangiopancreatograph', 'excision of bile duct cyst (treatment)', 'CHOLECSTC EXPL DUX SPHNCTROTOMY/SPHNCTROP']"
"[('Poisoning by cloxacillin (disorder)', 'causative_agent_of'), ('wound infection (diagnosis)', 'may_treat')]",Cloxacillin (substance),has_ingredient,"['Cloxacillin Sodium 250mg Oral capsule', 'cloxacillin Oral Solution']"
"[('Poisoning by cloxacillin (disorder)', 'causative_agent_of'), ('wound infection (diagnosis)', 'may_treat')]",Cloxacillin (substance),physiologic_effect_of,['Decreased Cell Wall Synthesis & Repair [PE]']
"[('CARDIOLOGY CLINIC FOLLOW UP', 'co-occurs_with'), ('Chronic rheumatic fever (disorder)', 'co-occurs_with')]",Acute rheumatic fever (I00-I02),associated_with,['Acute Inflammatory Infiltrate']
"[('CARDIOLOGY CLINIC FOLLOW UP', 'co-occurs_with'), ('Chronic rheumatic fever (disorder)', 'co-occurs_with')]",Acute rheumatic fever (I00-I02),co-occurs_with,['Chronic rheumatic fever (disorder)']
"[('CARDIOLOGY CLINIC FOLLOW UP', 'co-occurs_with'), ('Chronic rheumatic fever (disorder)', 'co-occurs_with')]",Acute rheumatic fever (I00-I02),may_treat,['Aspirin - chemical (substance)']
"[('CARDIOLOGY CLINIC FOLLOW UP', 'co-occurs_with'), ('Chronic rheumatic fever (disorder)', 'co-occurs_with')]",Acute rheumatic fever (I00-I02),clinically_associated_with,['aorta; incompetency']
"[('Structure of intestine', 'has_finding_site'), ('Stomach structure (body structure)', 'has_finding_site')]",Canine eosinophilic gastroenteritis (disorder),associated_morphology_of,['mucosity']
"[('Systema digestorium', 'has_finding_site'), ('gastrointestinal (GI) tract', 'has_finding_site')]",Anal warts (disorder),causative_agent_of,['human papilloma viru']
"[('Systema digestorium', 'has_finding_site'), ('gastrointestinal (GI) tract', 'has_finding_site')]",Anal warts (disorder),pathological_process_of,"['RNDx infection unspecified', 'Infectious process (qualifier value)']"
"[('glutamine analog', 'used_for'), ('Acquired short bowel syndrome (disorder)', 'may_treat')]",glutamine (medication),has_component,['glutamine/total amino acids in dried blood spot (lab test)']
"[('glutamine analog', 'used_for'), ('Acquired short bowel syndrome (disorder)', 'may_treat')]",glutamine (medication),has_ingredient,"['NUTR SUPL JUVEN PWDR 23GM PKT ORANGE', 'Glutamine 500 MG Oral Tablet [L-GLUTAMINE]', 'L-GLUTAMINE PWDR PKT,5GM', 'glutamine@@MISCELL@POWDER (GRAM)']"
"[('glutamine analog', 'used_for'), ('Acquired short bowel syndrome (disorder)', 'may_treat')]",glutamine (medication),therapeutic_class_of,['Therapeutic Nutrients/Minerals/Electrolytes']
"[('glutamine analog', 'used_for'), ('Acquired short bowel syndrome (disorder)', 'may_treat')]",glutamine (medication),mechanism_of_action_of,['Biological Macromolecular Activity [MoA]']
"[('ectopic pregnancy (diagnosis)', 'contraindicated_with_disease'), ('ADNEXAL DIS', 'contraindicated_with_disease')]",mifepristone (medication),has_ingredient,"['Mifeprex 200mg Tablet', 'Mifepristone-containing product in oral dose form', 'miFEPRIStone 200 MG']"
"[('ectopic pregnancy (diagnosis)', 'contraindicated_with_disease'), ('ADNEXAL DIS', 'contraindicated_with_disease')]",mifepristone (medication),has_active_ingredient,['Mifepristone 200mg tablet (substance)']
"[('first trimester of pregnancy (history)', 'contraindicated_with_disease'), ('lithium level test', 'co-occurs_with')]",Hydroxyzine (substance),has_ingredient,"['Ami-rax, 25 mg-10 mg-130 mg oral tablet', 'hydrOXYzine / pentaerythritol Oral Tablet', 'hydrOXYzine / labetalol Oral Tablet']"
"[('first trimester of pregnancy (history)', 'contraindicated_with_disease'), ('lithium level test', 'co-occurs_with')]",Hydroxyzine (substance),has_active_ingredient,"['HydrOXYzine Hydrochloride, hydrochloride 50 mg/mL intramuscular solution_#1', 'inositol niacinate + hydroxyzine + meclizine + vitamins (medication)']"
"[('first trimester of pregnancy (history)', 'contraindicated_with_disease'), ('lithium level test', 'co-occurs_with')]",Hydroxyzine (substance),therapeutic_class_of,['Anxiolytics']
"[('first trimester of pregnancy (history)', 'contraindicated_with_disease'), ('lithium level test', 'co-occurs_with')]",Hydroxyzine (substance),mechanism_of_action_of,"['Histamine Receptor Antagonists', 'H1 Receptor Blockers']"
"[('first trimester of pregnancy (history)', 'contraindicated_with_disease'), ('lithium level test', 'co-occurs_with')]",Hydroxyzine (substance),co-occurs_with,['lithium level test']
"[('Pulmonary Atelectasis, Congestive', 'used_for'), ('sputum Gram stain (lab test)', 'clinically_associated_with')]",ARDs - Acute respiratory distress syndrome,associated_with,['[D]Hypovolaemic shock (situation)']
"[('Pulmonary Atelectasis, Congestive', 'used_for'), ('sputum Gram stain (lab test)', 'clinically_associated_with')]",ARDs - Acute respiratory distress syndrome,clinically_associated_with,['Chronic obstructive bronchopneumopathy']
"[('Pulmonary Atelectasis, Congestive', 'used_for'), ('sputum Gram stain (lab test)', 'clinically_associated_with')]",ARDs - Acute respiratory distress syndrome,associated_morphology_of,['Internal injury NOS (disorder)']
"[('Paracetamol - chemical (substance)', 'has_active_ingredient'), ('theine', 'has_active_ingredient')]","acetaminophen, aspirin, caffeine drug combination",has_ingredient,['APAP 125MG/ASA 240MG/CAFN 32MG TAB']
"[('fecal soiling (symptom)', 'used_for'), ('ASDP', 'manifestation_of')]",RNDx bowel incontinence,clinically_associated_with,"[""Lou Gehrig's disease (ALS)""]"
"[('OSFD', 'manifestation_of'), ('OCBMD', 'manifestation_of')]",chested funnel,clinically_associated_with,['Chronic obstructive bronchopneumopathy']
"[('PREGNANCY COMPLICATION POSTPARTUM FEVER', 'co-occurs_with'), ('ENDOCARDITIS BACTERIAL SUSPECTED', 'co-occurs_with')]",Body temperature above reference range (finding),has_component,['Yellow fever virus Ab [Units/volume] in Serum by Hemagglutination inhibition']
"[('PREGNANCY COMPLICATION POSTPARTUM FEVER', 'co-occurs_with'), ('ENDOCARDITIS BACTERIAL SUSPECTED', 'co-occurs_with')]",Body temperature above reference range (finding),associated_with,"['fever of unknown origin (diagnosis)', 'Cryopyrinopathies', 'medium fever']"
"[('PREGNANCY COMPLICATION POSTPARTUM FEVER', 'co-occurs_with'), ('ENDOCARDITIS BACTERIAL SUSPECTED', 'co-occurs_with')]",Body temperature above reference range (finding),clinically_associated_with,['Unspecified abdominal pain']
"[('Blunt injury (disorder)', 'may_treat'), ('RAD INJ', 'may_treat')]",sodium iodide (medication),has_ingredient,"['Sodium Iodide, compounding powder', 'M.T.E.-6 INJ', 'Sodium iodide 118mcg/mL injection solution 10mL vial']"
"[('Blunt injury (disorder)', 'may_treat'), ('RAD INJ', 'may_treat')]",sodium iodide (medication),physiologic_effect_of,['Decreased Respiratory Secretion Viscosity [PE]']
"[('Blunt injury (disorder)', 'may_treat'), ('RAD INJ', 'may_treat')]",sodium iodide (medication),therapeutic_class_of,['Therapeutic Nutrients/Minerals/Electrolytes']
"[('Odor Aversion Conditioning', 'used_for'), ('taste aversion learning', 'used_for')]",aversion conditioning therapy,used_for,['Conditioning (function)']
"[('Pulmonary circulation diseases (& [heart]) (disorder)', 'contraindicated_with_disease'), ('uricemia', 'may_treat')]",hexanitromannitol,has_ingredient,['MANNITOL HEXANITRATE 30MG TAB']
"[(""Horner's syndrome (diagnosis)"", 'clinically_associated_with'), ('non b hepatitis', 'co-occurs_with')]",hepatitis B infection (diagnosis),used_for,['Antigen of Hepatitis B virus']
"[(""Horner's syndrome (diagnosis)"", 'clinically_associated_with'), ('non b hepatitis', 'co-occurs_with')]",hepatitis B infection (diagnosis),has_focus,['Hepatitis B antigen screening (procedure)']
"[('Poisoning by daunorubicin (disorder)', 'causative_agent_of'), ('pancytopenia (diagnosis)', 'contraindicated_with_disease')]",daunorubicin (medication),has_ingredient,['Daunorubicin Hydrochloride 20mg Lyophilisate for solution for injection']
"[('Poisoning by daunorubicin (disorder)', 'causative_agent_of'), ('pancytopenia (diagnosis)', 'contraindicated_with_disease')]",daunorubicin (medication),has_active_ingredient,['Product containing daunorubicin in parenteral dose form (medicinal product form)']
"[('Poisoning by daunorubicin (disorder)', 'causative_agent_of'), ('pancytopenia (diagnosis)', 'contraindicated_with_disease')]",daunorubicin (medication),physiologic_effect_of,['Decreased DNA Integrity [PE]']
"[('Poisoning by daunorubicin (disorder)', 'causative_agent_of'), ('pancytopenia (diagnosis)', 'contraindicated_with_disease')]",daunorubicin (medication),therapeutic_class_of,['Antineoplastic Agent [TC]']
"[('sumatriptan (as succinate)', 'used_for'), ('imigran', 'used_for')]",selective 5-HT receptor agonists sumatriptan,has_ingredient,"['SUMAtriptan Rectal Suppository', 'SUMAtriptan 25 MG', 'SUMAtriptan Prefilled Syringe']"
"[('sumatriptan (as succinate)', 'used_for'), ('imigran', 'used_for')]",selective 5-HT receptor agonists sumatriptan,therapeutic_class_of,['Antimigraine Agents']
"[('ABORTION NOS MULTIPLE', 'co-occurs_with'), ('Eczema: [discoid] or [NOS] (disorder)', 'clinically_associated_with')]","Multiple gestation, unspecified, unspecified trimester",has_focus,"['ultrasound obstetric for multiple gestation limited', 'obstetric ultrasound for multiple gestation (procedure)']"
"[('Nonsurgical manipulation of ankle region (procedure)', 'method_of'), ('Osteopathic manipulation, exaggeration method (procedure)', 'method_of')]",Manipulative,has_focus,['therapeutic cystoscopy with ureteroscopy and manipulation of calculus (treatment)']
"[('VARIEGATE PORPHYRIA, HOMOZYGOUS VARIANT', 'manifestation_of'), ('EKVP2', 'manifestation_of')]",excess hair,may_treat,['difluoromethylornithine (DFMO)']
"[('RCM3', 'manifestation_of'), ('MCM10 DEFICIENCY', 'manifestation_of')]",restrictive cardiomyopathy (diagnosis),associated_with,['cardiac catheterization hemodynamics assessment restrictive disease (procedure)']
"[('Weil syndrome (diagnosis)', 'used_for'), ('leptospirosis (diagnosis)', 'used_for')]",spirochetal infection (diagnosis),associated_with,['bronchospirochetosis']
"[('Weil syndrome (diagnosis)', 'used_for'), ('leptospirosis (diagnosis)', 'used_for')]",spirochetal infection (diagnosis),may_treat,['Penicillin V Potassium (obsolete)']
"[('PSYCHIATRIC HISTORY', 'clinically_associated_with'), ('THIORIDAZINE TREATMENT', 'co-occurs_with')]",type schizophrenia,associated_with,['schizoaffective disorder (diagnosis)']
"[('PSYCHIATRIC HISTORY', 'clinically_associated_with'), ('THIORIDAZINE TREATMENT', 'co-occurs_with')]",type schizophrenia,has_focus,['digital therapeutics for schizophrenia (treatment)']
"[('PSYCHIATRIC HISTORY', 'clinically_associated_with'), ('THIORIDAZINE TREATMENT', 'co-occurs_with')]",type schizophrenia,co-occurs_with,['Unspecified mental disorder (F99)']
"[('PSYCHIATRIC HISTORY', 'clinically_associated_with'), ('THIORIDAZINE TREATMENT', 'co-occurs_with')]",type schizophrenia,may_treat,['benperidol (medication)']
"[('excessive facial or body hair (hirsutism)', 'may_treat'), ('Insufficiency, Liver', 'contraindicated_with_disease')]",flutamide (medication),used_for,"['Antineoplastic Agent [TC]', 'anti-androgens (medication)']"
"[('excessive facial or body hair (hirsutism)', 'may_treat'), ('Insufficiency, Liver', 'contraindicated_with_disease')]",flutamide (medication),has_component,['FLUT/ZDX']
"[('excessive facial or body hair (hirsutism)', 'may_treat'), ('Insufficiency, Liver', 'contraindicated_with_disease')]",flutamide (medication),has_ingredient,"['Flutamide 125mg Oral capsule', 'flutamide 160 MG', 'Flutamide-containing product in oral dose form']"
"[('CHILDHOOD DEATH AGE', 'co-occurs_with'), ('neoplasm of cerebral ventricle (diagnosis)', 'used_for')]",brain neoplasm (diagnosis),has_focus,['documentation of brain tumor (treatment)']
"[('CHILDHOOD DEATH AGE', 'co-occurs_with'), ('neoplasm of cerebral ventricle (diagnosis)', 'used_for')]",brain neoplasm (diagnosis),co-occurs_with,['craniotomy (treatment)']
"[('CHILDHOOD DEATH AGE', 'co-occurs_with'), ('neoplasm of cerebral ventricle (diagnosis)', 'used_for')]",brain neoplasm (diagnosis),may_treat,['carmustine (medication)']
"[('ANTICOAGULATION TREATMENT NOT USED', 'co-occurs_with'), ('Mitral valve prosthesis, device', 'co-occurs_with')]",aortic valve replacement (treatment),co-occurs_with,['Anticoagulant therapy -RETIRED-']
"[('protoporphyria (diagnosis)', 'contraindicated_with_disease'), ('xeroderma pigmentosum (diagnosis)', 'contraindicated_with_disease')]",methoxsalen (medication),used_for,['Psoralen (substance)']
"[('protoporphyria (diagnosis)', 'contraindicated_with_disease'), ('xeroderma pigmentosum (diagnosis)', 'contraindicated_with_disease')]",methoxsalen (medication),has_ingredient,"['methoxsalen@@MISCELL@POWDER (GRAM)', 'Methoxsalen 10mg capsule (product)', 'Methoxsalen 10mg (product)']"
"[('protoporphyria (diagnosis)', 'contraindicated_with_disease'), ('xeroderma pigmentosum (diagnosis)', 'contraindicated_with_disease')]",methoxsalen (medication),therapeutic_class_of,['Dermatological Agents']
"[('human hepatitis B virus immune globulin', 'associated_with'), ('Hepatitis B Virus Subtype ADW HBSAG Surface Protein antigen', 'associated_with')]",HEPATITIS VIRUS HOMOL SERUM,has_component,"['HBV STATUS ASSESSED W/ RESULTS IN 1 YR', 'NAA with probe detection for hepatitis B virus RNA (lab test)']"
"[('human hepatitis B virus immune globulin', 'associated_with'), ('Hepatitis B Virus Subtype ADW HBSAG Surface Protein antigen', 'associated_with')]",HEPATITIS VIRUS HOMOL SERUM,has_active_ingredient,['BAPTISIA TINCTORIA ROOT 3 [hp_X] in 1 mL / ECHINACEA ANGUSTIFOLIA WHOLE 3 [hp_X] in 1 mL / GOLDENSEAL 6 [hp_X] in 1 mL / BORRELIA BURGDORFERI 12 [hp_X] in 1 mL / BABESIA MICROTI 20 [hp_X] in 1 mL / EHRLICHIA CANIS 20 [hp_X] in 1 mL / NEISSERIA MENINGITIDIS 30 [hp_X] in 1 mL / HEPATITIS B VIRUS 30 [hp_X] in 1 mL / ARSENIC TRIOXIDE 30 [hp_C] in 1 mL / BRYONIA ALBA ROOT 30 [hp_C] in 1 mL / CHELIDONIUM MAJUS WHOLE 30 [hp_C] in 1 mL / COLCHICUM AUTUMNALE BULB 30 [hp_C] in 1 mL / KALMIA LATIFOLIA LEAF 30 [hp_C] in 1 mL / LEDUM PALUSTRE TWIG 30 [hp_C] in 1 mL / LYCOPODIUM CLAVATUM SPORE 30 [hp_C] in 1 mL / PHOSPHORUS 30 [hp_C] in 1 mL / TOXICODENDRON PUBESCENS LEAF 30 [hp_C] in 1 mL ORAL LIQUID [Jointox BB]']
"[('human hepatitis B virus immune globulin', 'associated_with'), ('Hepatitis B Virus Subtype ADW HBSAG Surface Protein antigen', 'associated_with')]",HEPATITIS VIRUS HOMOL SERUM,contraindicated_with_disease,['Ublituximab (substance)']
"[('Retained products of conception not following abortion (disorder)', 'location_of'), ('Retained secundines (disorder)', 'location_of')]",Structure of product of conception (body structure),has_finding_site,"['Placental subinvolution', 'PSST', 'Placenta accreta spectrum disorder', 'retained products of conception without hemorrhage']"
"[('Retained products of conception not following abortion (disorder)', 'location_of'), ('Retained secundines (disorder)', 'location_of')]",Structure of product of conception (body structure),has_direct_procedure_site,['delivery of products of conception (treatment)']
"[('Retained products of conception not following abortion (disorder)', 'location_of'), ('Retained secundines (disorder)', 'location_of')]",Structure of product of conception (body structure),has_procedure_site,"['surgical treatment of missed abortion in first trimester (treatment)', 'TX INCOMPLETE ABORTION ANY TRIMESTER SURGICAL']"
"[('Tinea pedis due to Trichophyton (disorder)', 'causative_agent_of'), ('Tinea corporis due to Trichophyton species', 'causative_agent_of')]",Endodermophytons,has_component,['NAA with probe detection for Trichophyton DNA (lab test)']
"[('Tinea pedis due to Trichophyton (disorder)', 'causative_agent_of'), ('Tinea corporis due to Trichophyton species', 'causative_agent_of')]",Endodermophytons,has_ingredient,"['TRICHOPHYTON MENTAGROPHYTES 1:500 INJ', 'Trichophyton mentagrophytes extract 1000 UNT/ML Injectable Solution']"
"[('Nondependent drug abuse: [analgesic] or [laxative] or [steroid] or [other] (disorder)', 'associated_with'), ('Heavy Liquid Petrolatum', 'associated_with')]",GI preparations laxatives,has_component,['Humpty Dumpty fall risk assessment: use of laxatives (procedure)']
"[('Nondependent drug abuse: [analgesic] or [laxative] or [steroid] or [other] (disorder)', 'associated_with'), ('Heavy Liquid Petrolatum', 'associated_with')]",GI preparations laxatives,has_active_ingredient,"['aluminum hydroxide, magnesium hydroxide, drug combination']"
"[('Classic Lissencephaly', 'associated_morphology_of'), ('Decreased enamel mineralisation', 'associated_morphology_of')]",Congenital Anomaly or Birth Defect,contraindicated_with_disease,['prostaglandins alprostadil']
"[('Classic Lissencephaly', 'associated_morphology_of'), ('Decreased enamel mineralisation', 'associated_morphology_of')]",Congenital Anomaly or Birth Defect,has_focus,"['Correction of congenital anomaly (procedure)', 'Repair of persistant cloaca by sacroperineal approach (procedure)']"
"[('Classic Lissencephaly', 'associated_morphology_of'), ('Decreased enamel mineralisation', 'associated_morphology_of')]",Congenital Anomaly or Birth Defect,co-occurs_with,['down s syndrome']
"[('Classic Lissencephaly', 'associated_morphology_of'), ('Decreased enamel mineralisation', 'associated_morphology_of')]",Congenital Anomaly or Birth Defect,may_treat,['sacrosidase (medication)']
"[('Classic Lissencephaly', 'associated_morphology_of'), ('Decreased enamel mineralisation', 'associated_morphology_of')]",Congenital Anomaly or Birth Defect,clinically_associated_with,['Intrauterine fetal death (disorder)']
"[('Causalgia (finding)', 'may_treat'), ('arteriosclerosis obliterans (diagnosis)', 'may_treat')]",Tolazoline (substance),used_for,['imidazole']
"[('Causalgia (finding)', 'may_treat'), ('arteriosclerosis obliterans (diagnosis)', 'may_treat')]",Tolazoline (substance),has_ingredient,"['tolazoline Injectable Product', 'tolazoline HCl@25 mg/mL@INJECTION@AMPUL (ML)']"
"[('Causalgia (finding)', 'may_treat'), ('arteriosclerosis obliterans (diagnosis)', 'may_treat')]",Tolazoline (substance),physiologic_effect_of,['Systemic Arterial Vasodilation [PE]']
"[('agenesis of pulmonary artery (diagnosis)', 'location_of'), ('atresia of pulmonary artery (diagnosis)', 'location_of')]",Pulmonary arterial subtree,has_finding_site,"['pulmonary artery anomaly arteriovenous malformation (diagnosis)', 'Pulmonary trunk present (finding)', 'cardiac catheterization pulmonary artery stenosis main trunk (procedure)', 'Enlarged pulmonary artery (finding)', 'PAH associated with congenital heart disease', 'Pulmonary artery tortuous (finding)', 'echo great arteries vascular ring encircling trachea and esophagus', 'arterial embolism pulmonary main', 'Amniotic fluid embolism following molar AND/OR ectopic pregnancy (disorder)', 'pulmonary artery rupture (diagnosis)', 'Chr pulmonary embolism', 'Acquired anomaly of pulmonary artery (disorder)', '(Aortic septal defect) or (aortopulmonary window) (disorder)', 'Pulmonary artery hypertension', 'cardiac catheterization H2 appearance time shortened at level of pulmonary artery']"
"[('agenesis of pulmonary artery (diagnosis)', 'location_of'), ('atresia of pulmonary artery (diagnosis)', 'location_of')]",Pulmonary arterial subtree,has_direct_procedure_site,"['CT angiography of coronary arteries and pulmonary arteries (procedure)', 'Percutaneous embolization of pulmonary artery using fluoroscopic guidance (procedure)', 'Percutaneous transluminal angioplasty with insertion of stent into pulmonary artery using fluoroscopic guidance with contrast', 'destruction of pulmonary artery (treatment)', 'Operation for major aortopulmonary collateral arteries (procedure)', 'Rastelli operation (procedure)']"
"[('agenesis of pulmonary artery (diagnosis)', 'location_of'), ('atresia of pulmonary artery (diagnosis)', 'location_of')]",Pulmonary arterial subtree,has_procedure_site,"['Central shunt with prosthetic graft (procedure)', 'Reimplantation of anomalous pulmonary artery (procedure)', 'Apply r&l pulm art bands', 'PULMONARY ARTERY EMBOLECTOMY W/CARD BYPASS', 'pulmonary artery banding (treatment)', 'Tcat impl wrls p-art prs snr', 'ANAST PULMONARY ART AORTA DAMUS-KAYE-STANSEL PX', 'percutaneous pulmonary artery revascularization by stent placement, initial, normal native connections, unilateral (treatment)', 'Repr pul art unifocal w/cpb']"
"[('Secondary malignant neoplasm of bronchus (disorder)', 'associated_morphology_of'), ('hairy cell leukemia of axilla and upper limb', 'associated_morphology_of')]",metastatic; cancer or neoplasm,has_component,['Number of regional lymph nodes involved by malignant neoplasm']
"[('Secondary malignant neoplasm of bronchus (disorder)', 'associated_morphology_of'), ('hairy cell leukemia of axilla and upper limb', 'associated_morphology_of')]",metastatic; cancer or neoplasm,has_focus,['tumor specimen site other than anatomic location of primary tumor (treatment)']
"[('Secondary malignant neoplasm of bronchus (disorder)', 'associated_morphology_of'), ('hairy cell leukemia of axilla and upper limb', 'associated_morphology_of')]",metastatic; cancer or neoplasm,clinically_associated_with,['anemia (diagnosis)']
"[('small cell carcinoma of lung (diagnosis)', 'may_treat'), ('Hyamptin', 'used_for')]",Topotecan Lactone,has_ingredient,"['topotecan 1 MG', 'topotecan 1 MG/ML', 'topotecan 250 MCG Oral Capsule', 'Topotecan Capsules', 'topotecan (as topotecan hydrochloride) 1 MG/ML Injectable Solution']"
"[('small cell carcinoma of lung (diagnosis)', 'may_treat'), ('Hyamptin', 'used_for')]",Topotecan Lactone,therapeutic_class_of,['Antineoplastic Agent [TC]']
"[('small cell carcinoma of lung (diagnosis)', 'may_treat'), ('Hyamptin', 'used_for')]",Topotecan Lactone,associated_with,['long-term use of topotecan (history)']
"[('ETL2', 'manifestation_of'), ('ETL4', 'manifestation_of')]",partial complex seizure (diagnosis),associated_with,['epilepsy types']
"[('rauwolfine', 'used_for'), ('Alstonias', 'used_for')]",Rauwolfia alkaloid (substance),has_active_ingredient,['Snakeroot']
"[('rauwolfine', 'used_for'), ('Alstonias', 'used_for')]",Rauwolfia alkaloid (substance),associated_with,['Rauvolfia serpentina (organism)']
"[('ovarian cancer (diagnosis)', 'used_for'), ('Ovarian Stromal Luteoma', 'used_for')]",neoplasm of ovary (diagnosis),has_focus,['Ovarian neoplasm screening (procedure)']
"[('ovarian cancer (diagnosis)', 'used_for'), ('Ovarian Stromal Luteoma', 'used_for')]",neoplasm of ovary (diagnosis),may_treat,['chlorambucil (medication)']
"[('ovarian cancer (diagnosis)', 'used_for'), ('Ovarian Stromal Luteoma', 'used_for')]",neoplasm of ovary (diagnosis),associated_morphology_of,"['Neoplasms benign, malignant and unspecified (including cysts and polyps)']"
"[('HYDROCEPHALUS, NONSYNDROMIC, AUTOSOMAL RECESSIVE 2, FORMERLY', 'manifestation_of'), ('HYC4', 'manifestation_of')]",increased pressure communicating hydrocephalus (diagnosis),clinically_associated_with,['epilepsy types']
"[('inflammation of the heart valve', 'associated_with'), ('disseminated atypical mycobacterial infection (diagnosis)', 'associated_with')]",bacterial infection (diagnosis),associated_with,['acute ascending bacterial myelitis (diagnosis)']
"[('inflammation of the heart valve', 'associated_with'), ('disseminated atypical mycobacterial infection (diagnosis)', 'associated_with')]",bacterial infection (diagnosis),co-occurs_with,['Infectious systemic inflammatory response syndrome (disorder)']
"[('inflammation of the heart valve', 'associated_with'), ('disseminated atypical mycobacterial infection (diagnosis)', 'associated_with')]",bacterial infection (diagnosis),causative_agent_of,['Superkingdom Bacteria (organism)']
"[('training project', 'used_for'), ('K25 grant', 'used_for')]",Functional training,used_for,['EDUC']
"[('MYELOPROLIFERATIVE DISEASE, AUTOSOMAL RECESSIVE', 'manifestation_of'), ('MMM', 'manifestation_of')]","Myeloproliferative disease, unspecified",associated_with,['hematologic / oncologic']
